Outcode,Incode,LDZ,Exit Zone,LPG Indicator
BA1,1XF,SW,SW2,
BA1,1XH,SW,SW2,
BA1,1ZZ,SW,SW2,
BA1,2AA,SW,SW2,
BA1,2AB,SW,SW2,
BA1,2AE,SW,SW2,
BA1,2AF,SW,SW2,
BA1,2AG,SW,SW2,
BA1,2AH,SW,SW2,
BA1,2AJ,SW,SW2,
BA1,2AL,SW,SW2,
BA1,2AN,SW,SW2,
BA1,2AP,SW,SW2,
BA1,2AQ,SW,SW2,
BA1,2AR,SW,SW2,
BA1,2AS,SW,SW2,
BA1,2AT,SW,SW2,
BA1,2AU,SW,SW2,
BA1,2AW,SW,SW2,
BA1,2AX,SW,SW2,
BA1,2AY,SW,SW2,
BA1,2AZ,SW,SW2,
BA1,2BA,SW,SW2,
BA1,2BB,SW,SW2,
BA1,2BD,SW,SW2,
BA1,2BE,SW,SW2,
BA1,2BG,SW,SW2,
BA1,2BH,SW,SW2,
BA1,2BJ,SW,SW2,
BA1,2BL,SW,SW2,
BA1,2BN,SW,SW2,
BA1,2BP,SW,SW2,
BA1,2BQ,SW,SW2,
BA1,2BT,SW,SW2,
BA1,2BU,SW,SW2,
BA1,2BW,SW,SW2,
BA1,2BX,SW,SW2,
BA1,2BY,SW,SW2,
BA1,2BZ,SW,SW2,
BA1,2DA,SW,SW2,
BA1,2DD,SW,SW2,
BA1,2DG,SW,SW2,
BA1,2DU,SW,SW2,
BA1,2DW,SW,SW2,
BA1,2EB,SW,SW2,
BA1,2ED,SW,SW2,
BA1,2EE,SW,SW2,
BA1,2EH,SW,SW2,
BA1,2EJ,SW,SW2,
BA1,2EN,SW,SW2,
BA1,2EQ,SW,SW2,
BA1,2ER,SW,SW2,
BA1,2ES,SW,SW2,
BA1,2ET,SW,SW2,
BA1,2EU,SW,SW2,
BA1,2EW,SW,SW2,
BA1,2EX,SW,SW2,
BA1,2EY,SW,SW2,
BA1,2HA,SW,SW2,
BA1,2HB,SW,SW2,
BA1,2HD,SW,SW2,
BA1,2HH,SW,SW2,
BA1,2HJ,SW,SW2,
BA1,2HL,SW,SW2,
BA1,2HN,SW,SW2,
BA1,2HQ,SW,SW2,
